Feature,Subband,Metric,Mean_t_stat,Min_t_stat,Max_t_stat,Mean_p_val,Mean_neg_log10p,Sig_trials_count
d2_skewness,d2,skewness,35.48581178515901,31.842774717450823,45.80330048291574,2.6333821228042894e-223,242.2677274499477,10
d2_psd_rms,d2,psd_rms,-47.34458700975283,-89.53097273100019,-20.05610282062967,1.888504488828124e-90,136.31950468568894,10
d2_std,d2,std,-47.30397527660614,-89.36910345643503,-20.05757573150365,1.8334374993644083e-90,136.29208201865376,10
d1_psd_rms,d1,psd_rms,-57.62807634182609,-116.3886717568983,-22.562488660946425,1.1061707215355432e-113,123.6905391571207,10
d1_std,d1,std,-57.60517996034237,-116.35271572337217,-22.549383413994022,1.4871772937595454e-113,123.64517300897838,10
d1_energy,d1,energy,-22.1532781946677,-28.873902330009273,-8.065718350878988,7.300704156235119e-17,119.85039168568319,10
d4_std,d4,std,88.08417236892276,17.408332137402514,167.87167484759547,7.219762651739652e-69,115.74004242357435,10
d3_psd_rms,d3,psd_rms,1.2620367248807858,-46.980823805199144,47.68282623373674,1.3611749926619965e-19,115.20661986634718,10
d2_energy,d2,energy,-21.342161346673137,-29.148751327996145,-6.545668935964619,6.120511762182281e-12,113.859746877921,10
d4_psd_rms,d4,psd_rms,87.24305757588131,16.661758023890673,166.5752984203254,2.5113026706762477e-63,113.66694818238875,10
d1_wiener_entropy,d1,wiener_entropy,-76.88031462362231,-153.7541327569774,42.97619337943792,0.08491874330185456,104.35637545590312,9
d3_wiener_entropy,d3,wiener_entropy,-16.860728983634232,-99.71283372991613,31.644866151777144,5.678192623646972e-06,100.25131317216068,10
a4_wiener_entropy,a4,wiener_entropy,-135.19319310168385,-168.31827766785594,-92.46625334356989,0.0,100.0,10
d4_kurtosis,d4,kurtosis,181.5246736866521,129.25450566319654,230.97977159294635,0.0,100.0,10
a4_kurtosis,a4,kurtosis,87.41525471427137,54.362268714998166,109.71035144577493,0.0,100.0,10
d3_kurtosis,d3,kurtosis,91.17408631330909,56.051586591870425,138.345845957154,0.0,100.0,10
d4_wiener_entropy,d4,wiener_entropy,-76.86881709724113,-172.51864367622474,-13.83505047748805,1.5841108656421207e-44,99.23062949227632,10
d1_kurtosis,d1,kurtosis,-58.77338234927654,-130.09160787706574,22.70005325035029,0.06400269260172682,96.875465474082,9
d2_kurtosis,d2,kurtosis,31.642757615182177,-28.751105537004314,119.55125481659634,7.914184463443172e-31,96.20119608076868,10
d3_std,d3,std,1.8772979002224779,-46.49797672150289,48.48448670999551,8.463049572407395e-18,95.4484027561044,10
a4_psd_rms,a4,psd_rms,-9.07670054156689,-83.91011080514689,79.7749913219529,8.768749356620622e-23,95.3600257658322,10
a4_skewness,a4,skewness,19.811202799336478,8.411128614845685,30.43116700304169,4.072511511376964e-18,94.58726659472254,10
d2_wiener_entropy,d2,wiener_entropy,9.497476495109849,-36.20366763635871,55.305628811927384,3.720833428734314e-11,91.21935442547918,10
a4_std,a4,std,66.7572410936078,-7.350318118558705,152.93769483377193,0.018364883530898917,72.34923743507935,9
a4_energy,a4,energy,-15.637905303704239,-26.427595812218478,-8.331060369440994,8.021333996735197e-18,61.860855077187885,10
d3_energy,d3,energy,-15.409461174616728,-19.13049698338925,-4.540849523210742,5.603774942150373e-07,58.44084188648098,10
d4_energy,d4,energy,-8.042969542672035,-13.333207972307024,3.3271327097132004,0.0004641741782128876,22.307749649845793,10
d1_skewness,d1,skewness,3.1436217293404902,-9.360880995103127,11.822492025211407,0.0002448094634935238,15.670841689826304,10
d4_skewness,d4,skewness,7.242894156723198,0.24198753303412313,14.759575343202648,0.08093026140590243,15.634104425791099,9
d3_skewness,d3,skewness,3.051317199847553,-1.8611940348018705,6.1149955198209245,0.07187077228738029,3.7187986510697884,7
