trial,paradigm,strategy,model,ma_window,threshold,accuracy,precision,recall,specificity,f1,auroc,brier_score,ece
1,spectral_slope,downsample_2x,AdaptiveNN,20,0.49,0.7457995890245377,0.6918709139686922,0.7891562685680332,0.7100276981150575,0.737318362871775,0.8547512503613568,0.20877584297593849,0.19599003208881224
1,spectral_slope,downsample_2x,LogisticRegression,20,0.52,0.7285950280027398,0.6745018679950187,0.7723707664884135,0.6924773880432384,0.7201263087917567,0.8478606765616948,0.21180888760399116,0.25232367548053036
1,spectral_slope,downsample_2x,RandomForest,20,0.54,0.7632660461743019,0.709066252884954,0.8077688651218063,0.7265485207245631,0.7552061995264251,0.8574983929095714,0.21707590671486843,0.24793134869168026
1,spectral_slope,downsample_2x,XGBoost,20,0.54,0.7665296748458842,0.7089168132051495,0.8204248366013072,0.722062896781626,0.760605664157985,0.8605218350932243,0.21529934104815604,0.24821044800342187
2,spectral_slope,downsample_2x,AdaptiveNN,10,0.4,0.7533041240094858,0.7866946830341235,0.7925084175084175,0.6982512863301349,0.7895908488268122,0.8312250708897265,0.22700415044002276,0.19935398120343398
2,spectral_slope,downsample_2x,LogisticRegression,19,0.48,0.7767005032101336,0.8219996644425229,0.7884110714993068,0.7602558753998053,0.8048550866573575,0.858328303189169,0.22515675040753488,0.15235344743611065
2,spectral_slope,downsample_2x,RandomForest,20,0.46,0.7447076175602985,0.7174125071715434,0.9287358882947119,0.486284939507718,0.8095099372046352,0.7798240526373041,0.22152009473684983,0.12356241781223204
2,spectral_slope,downsample_2x,XGBoost,18,0.46,0.7422132569842096,0.7204360950734152,0.9128787878787878,0.502555277430121,0.8053203164671002,0.7813270545838242,0.21947507928514176,0.13376608940741697
3,spectral_slope,downsample_2x,AdaptiveNN,16,0.33,0.4809114438898133,0.42473926013020663,0.8752400437911664,0.22216333981039862,0.5719303492214277,0.7090441062827713,0.20825826894344218,0.08573609388151805
3,spectral_slope,downsample_2x,LogisticRegression,18,0.47,0.4889038212665501,0.4225090038892965,0.7905920781062116,0.2909438850615321,0.5507080594701196,0.6711624799944552,0.2289536224054614,0.1809998385474527
