PCA_Components,Model,AUROC,F1,Recall,Specificity,mean_auroc,mean_f1
5,AdaptiveNN,0.740 +/- 0.071,0.649 +/- 0.104,0.867 +/- 0.076,0.360 +/- 0.253,0.7399101090813456,0.6488356077032874
5,XGBoost,0.725 +/- 0.077,0.652 +/- 0.112,0.840 +/- 0.169,0.416 +/- 0.231,0.7245565306165365,0.652462420888507
5,LogisticRegression,0.750 +/- 0.064,0.663 +/- 0.080,0.909 +/- 0.087,0.319 +/- 0.196,0.7495212097616883,0.6629176123021197
5,RandomForest,0.722 +/- 0.076,0.652 +/- 0.113,0.846 +/- 0.169,0.403 +/- 0.239,0.7218467853784651,0.6523460199997426
10,AdaptiveNN,0.754 +/- 0.087,0.651 +/- 0.097,0.774 +/- 0.111,0.537 +/- 0.145,0.7536235569825819,0.6508282777308347
10,XGBoost,0.742 +/- 0.083,0.665 +/- 0.113,0.840 +/- 0.168,0.460 +/- 0.223,0.7415911187433648,0.6652831602919654
10,LogisticRegression,0.765 +/- 0.082,0.664 +/- 0.094,0.841 +/- 0.073,0.450 +/- 0.241,0.7648242525630178,0.6638471264901348
10,RandomForest,0.741 +/- 0.083,0.663 +/- 0.108,0.832 +/- 0.166,0.467 +/- 0.229,0.7410058785654547,0.6626493611135807
raw,AdaptiveNN,0.762 +/- 0.072,0.661 +/- 0.098,0.852 +/- 0.069,0.435 +/- 0.239,0.7616405808203186,0.6610413544542248
raw,XGBoost,0.735 +/- 0.093,0.639 +/- 0.120,0.793 +/- 0.193,0.485 +/- 0.149,0.7349630845196001,0.6393179273598358
raw,LogisticRegression,0.765 +/- 0.082,0.664 +/- 0.094,0.841 +/- 0.073,0.450 +/- 0.241,0.7648242525594628,0.6638471264901348
raw,RandomForest,0.734 +/- 0.091,0.652 +/- 0.122,0.839 +/- 0.191,0.436 +/- 0.192,0.7337635592778632,0.6516004079892829
