paradigm,strategy,model,accuracy,precision,recall,specificity,f1,auroc,brier_score,ece
emd,downsample_2x,AdaptiveNN,0.460 +/- 0.112,0.491 +/- 0.124,0.846 +/- 0.261,0.141 +/- 0.200,0.583 +/- 0.131,0.578 +/- 0.105,0.249 +/- 0.010,0.131 +/- 0.068
emd,downsample_2x,LogisticRegression,0.495 +/- 0.123,0.497 +/- 0.122,0.871 +/- 0.220,0.128 +/- 0.171,0.613 +/- 0.133,0.584 +/- 0.125,0.250 +/- 0.003,0.138 +/- 0.057
emd,downsample_2x,RandomForest,0.501 +/- 0.107,0.515 +/- 0.125,0.825 +/- 0.206,0.206 +/- 0.199,0.607 +/- 0.104,0.580 +/- 0.108,0.248 +/- 0.007,0.140 +/- 0.059
emd,downsample_2x,XGBoost,0.504 +/- 0.102,0.515 +/- 0.125,0.834 +/- 0.196,0.199 +/- 0.188,0.612 +/- 0.101,0.581 +/- 0.108,0.248 +/- 0.007,0.139 +/- 0.060
emd,weighted_sampler,AdaptiveNN,0.459 +/- 0.182,0.273 +/- 0.152,0.724 +/- 0.292,0.326 +/- 0.310,0.370 +/- 0.173,0.575 +/- 0.144,0.233 +/- 0.011,0.227 +/- 0.115
emd,weighted_sampler,LogisticRegression,0.379 +/- 0.242,0.263 +/- 0.158,0.759 +/- 0.374,0.241 +/- 0.374,0.340 +/- 0.178,0.540 +/- 0.165,0.249 +/- 0.002,0.257 +/- 0.120
emd,weighted_sampler,RandomForest,0.512 +/- 0.181,0.293 +/- 0.164,0.628 +/- 0.307,0.443 +/- 0.320,0.360 +/- 0.178,0.566 +/- 0.159,0.247 +/- 0.005,0.258 +/- 0.114
emd,weighted_sampler,XGBoost,0.519 +/- 0.188,0.289 +/- 0.164,0.636 +/- 0.310,0.439 +/- 0.324,0.365 +/- 0.187,0.569 +/- 0.165,0.248 +/- 0.005,0.259 +/- 0.114
fusion,downsample_2x,AdaptiveNN,0.597 +/- 0.106,0.610 +/- 0.141,0.718 +/- 0.267,0.492 +/- 0.280,0.602 +/- 0.179,0.695 +/- 0.075,0.231 +/- 0.015,0.149 +/- 0.058
fusion,downsample_2x,LogisticRegression,0.561 +/- 0.135,0.553 +/- 0.137,0.718 +/- 0.272,0.439 +/- 0.256,0.586 +/- 0.177,0.663 +/- 0.138,0.240 +/- 0.018,0.182 +/- 0.053
fusion,downsample_2x,RandomForest,0.585 +/- 0.107,0.593 +/- 0.131,0.727 +/- 0.273,0.455 +/- 0.291,0.595 +/- 0.196,0.684 +/- 0.092,0.233 +/- 0.018,0.161 +/- 0.063
fusion,downsample_2x,XGBoost,0.584 +/- 0.108,0.599 +/- 0.135,0.727 +/- 0.283,0.461 +/- 0.297,0.594 +/- 0.192,0.684 +/- 0.093,0.232 +/- 0.017,0.159 +/- 0.062
fusion,weighted_sampler,AdaptiveNN,0.628 +/- 0.197,0.431 +/- 0.266,0.564 +/- 0.273,0.640 +/- 0.303,0.404 +/- 0.170,0.675 +/- 0.120,0.226 +/- 0.013,0.253 +/- 0.094
