feature,fisher_mean,fisher_std,fisher_min,fisher_max,band,type
delta_midband,0.05431872305046017,0.04139805946981192,0.008722889603254187,0.1376466338590566,delta,midband
delta_intercept,0.050259563836853316,0.04083213402911684,0.006880467615551632,0.13517390525858936,delta,intercept
delta_slope,0.041208576168169364,0.03582930217351018,0.004589428975650243,0.11775484956933029,delta,slope
theta_midband,0.02341042969468659,0.017584639879758092,0.0023743917320295607,0.052692449465776545,theta,midband
theta_intercept,0.018118194753889087,0.013547886995528544,0.0016441667159370317,0.042372150561199265,theta,intercept
alpha_intercept,0.008503779651652743,0.005868618526094684,0.001296722327780683,0.017267184855452544,alpha,intercept
theta_slope,0.008051780495367313,0.006040335543430874,0.0004752742870649974,0.01862886582457115,theta,slope
alpha_midband,0.006801557793721755,0.006134969142643057,0.00023341010059265536,0.016365153541808203,alpha,midband
alpha_slope,0.006128823914606051,0.0036724692581759383,0.0012423841472222876,0.012395349862130457,alpha,slope
beta_slope,0.0028351741031977145,0.0016064016775383001,0.0005373498811829374,0.005194487330527552,beta,slope
beta_intercept,0.0005899814045190966,0.0006133575119485262,8.320732650786329e-06,0.0015282507446472788,beta,intercept
beta_midband,0.000351797021495581,0.00037632683361715313,4.598367001427043e-07,0.0009573782326743658,beta,midband
