feature,d_mean,d_std,abs_d_mean,abs_d_std,band,type,category
delta_midband,0.3059679856207001,0.1291899457565892,0.3059679856207001,0.1291899457565892,delta,midband,Small
delta_intercept,0.29154864253518536,0.1313118286522469,0.29154864253518536,0.1313118286522469,delta,intercept,Small
delta_slope,-0.2606662030267325,0.1267994169981559,0.2606662030267325,0.1267994169981559,delta,slope,Small
theta_midband,0.19843156179546761,0.09095648943181996,0.19843156179546761,0.09095648943181996,theta,midband,Negligible
theta_intercept,0.17527920700362146,0.07827010994668678,0.17527920700362146,0.07827010994668678,theta,intercept,Negligible
alpha_intercept,0.12147940841253138,0.05000347360208411,0.12147940841253138,0.05000347360208411,alpha,intercept,Negligible
theta_slope,-0.11662924251849434,0.052717072717340795,0.11662924251849434,0.052717072717340795,theta,slope,Negligible
alpha_slope,-0.10538502054677346,0.035771578935242236,0.10538502054677346,0.035771578935242236,alpha,slope,Negligible
alpha_midband,0.10278990526544714,0.05809332494610063,0.10278990526544714,0.05809332494610063,alpha,midband,Negligible
beta_slope,-0.07205807986994903,0.023045397994477405,0.07205807986994903,0.023045397994477405,beta,slope,Negligible
beta_intercept,0.025103876929588875,0.024715226349183755,0.028489175892842507,0.02023005646130624,beta,intercept,Negligible
beta_midband,-0.020948644237469935,0.017151234085921882,0.02179913457670494,0.01593011734273129,beta,midband,Negligible
