label,channel,delta_power,theta_power,alpha_power,beta_power
0,Fp2-F4,5.334800704672655e-13,6.304010828272413e-14,1.0790078026283456e-14,3.5238440529237914e-14
0,F4-C4,5.340007162539387e-13,9.08611192123049e-14,1.6320830755189506e-14,9.320218124423464e-14
0,C4-P4,2.1214070681283885e-13,1.402576160624372e-13,3.937759883040028e-14,5.601353108800944e-14
0,P4-O2,3.338779576725217e-13,2.543391175435686e-13,8.91592365348983e-14,1.4781793824373237e-13
0,Fp1-F3,5.013435156709978e-13,3.5772036845904953e-14,4.1543180615119643e-14,7.584780270961952e-14
0,F3-C3,4.484966154067894e-13,7.462882254083313e-14,3.5163843824264864e-14,2.4349347067156123e-14
0,C3-P3,1.223800631105567e-12,3.261412591143646e-13,2.331674818497469e-14,7.13913464223846e-14
0,P3-O1,2.82214270678482e-13,2.9843619580455464e-13,3.445828587514833e-14,1.348801409377922e-13
0,Fp2-F8,1.7908009051270322e-12,4.011377111021633e-13,8.934744307553512e-14,2.801875080543249e-13
0,F8-T4,7.962080790069387e-13,1.844247567728507e-13,4.9394267897682816e-14,2.0427120665651034e-13
0,T4-T6,5.722420750786695e-14,4.5382387024501695e-14,1.3531662094924848e-14,4.6307915675050747e-14
0,T6-O2,2.533599027397347e-13,2.2631602633473923e-14,1.8285921638343953e-14,9.789206398125776e-14
0,Fp1-F7,1.3056302142089663e-11,1.0861993247020045e-12,1.1838369645689068e-13,4.3987597489670313e-13
0,F7-T3,1.6840333194757807e-12,3.4905325477641846e-13,5.815990451134872e-14,2.325363803079448e-13
0,T3-T5,7.2521011358997165e-12,5.281605645461555e-13,6.937485992406905e-14,1.0725427046281552e-13
0,T5-O1,7.953599392924432e-12,1.0058197332726176e-12,7.074203709120917e-14,2.4096564097630265e-13
0,Fz-Cz,1.2166833149142731e-12,1.3823237831450687e-13,3.349999501502001e-14,4.7466626816316894e-14
0,Cz-Pz,1.910616535294174e-13,9.609363761596221e-15,1.605721388901244e-14,7.580008880879717e-14
0,Fp2-F4,6.550610174787916e-14,1.1900953785580032e-14,7.736872565525278e-15,6.326197794533526e-14
0,F4-C4,2.366822476208545e-13,1.947371085902371e-14,1.1038041116055357e-14,7.35193445239451e-14
0,C4-P4,3.801573299991608e-13,2.038802749158032e-14,2.5351619311635587e-14,6.302819203005796e-14
0,P4-O2,2.302110666340322e-13,1.7375516042662271e-13,1.1265948565749053e-13,1.855753995665839e-13
0,Fp1-F3,9.886358038648135e-14,6.184865918527617e-14,1.737185410655549e-14,7.353481658838764e-14
0,F3-C3,3.625265636801387e-14,3.576450095498992e-14,1.413787879112691e-14,6.014418113006277e-14
