label,channel,dwt_A4,dwt_D4,dwt_D3,dwt_D2,dwt_D1
1,Fp2-F4,1.3580568735981184e-07,2.381233367079709e-09,4.433153591030845e-09,1.509005898161017e-09,2.8866084283261966e-10
1,F4-C4,5.1768560272977865e-06,9.20353593131069e-09,6.880806361666816e-08,1.4817693168347976e-08,3.558647667071138e-10
1,C4-P4,1.4876482685444217e-06,1.1736533963720656e-08,1.8699830235728056e-08,4.843069385692544e-09,2.396358381160917e-10
1,P4-O2,8.236877331529953e-07,1.0836100196816436e-09,5.922053410828781e-09,1.3701746251387265e-09,4.3823888722875023e-11
1,Fp1-F3,6.808457212981014e-07,2.1780523021172745e-09,1.1124425894050308e-08,2.1334111630101373e-09,1.1833295024735748e-10
1,F3-C3,2.185572265023771e-06,4.01966205726511e-09,1.2652637140620311e-08,2.2449542410919153e-09,5.375674044361795e-11
1,C3-P3,8.750335132552936e-08,6.049992361416409e-10,6.946713702216797e-10,2.1484162093787305e-10,1.8181982563034064e-11
1,P3-O1,1.448122100555257e-06,7.608921598945257e-09,3.297641798542235e-08,5.653845075478105e-09,1.3390890905638163e-10
1,Fp2-F8,2.45794272992399e-07,2.9867187257373465e-09,1.0041334437669642e-08,2.473133044850793e-09,2.9030931669622086e-10
1,F8-T4,1.6883108877456426e-07,2.9394229094205543e-09,5.775773623885501e-09,5.069510755577719e-09,9.71055374763815e-10
1,T4-T6,2.8525878619440224e-06,1.2212099031130134e-08,5.648717771480491e-08,1.4261637190874584e-08,1.0976800209542742e-09
1,T6-O2,3.272857022203185e-06,1.2121040466907842e-08,7.380264179196814e-08,1.395560825223252e-08,2.654542808369497e-10
1,Fp1-F7,6.371134391198653e-07,1.5703352906146133e-09,5.915022624889211e-09,1.1471423700307672e-09,8.35992994866532e-11
1,F7-T3,1.343462194257661e-07,5.961017448284378e-10,2.3475107354357194e-09,6.301138741334218e-10,1.0018724502137786e-10
1,T3-T5,1.0025009566496547e-07,4.37585776101382e-10,1.3760431486534477e-09,3.6469074519096676e-10,6.329950941657521e-11
1,T5-O1,1.0791282508347312e-06,5.570788795876781e-09,1.672488956622232e-08,3.449134038823552e-09,1.400188975634874e-10
1,Fz-Cz,8.608000865497741e-07,2.7082981552770753e-09,1.2134809147694277e-08,1.8313648120827338e-09,3.642234819430697e-11
1,Cz-Pz,1.2160974753053072e-06,3.654881550314569e-09,1.4682889404961002e-08,2.1965727404658563e-09,4.053114710644901e-11
1,Fp2-F4,3.1524409312308806e-07,9.735350551320583e-10,1.0504991103304812e-09,1.2032906741190122e-09,3.129431874939048e-10
1,F4-C4,1.486761978582728e-06,2.8647033957696413e-09,5.7110547505367e-09,1.1417140791781743e-09,1.074557672568105e-10
