label,channel,imf1_var,imf1_energy,imf2_var,imf2_energy,imf3_var,imf3_energy
0,Fp2-F4,5.217489098188916e-13,1.3401192631574378e-10,8.602952099620788e-13,5.241125937853225e-10,0.0,0.0
0,F4-C4,1.5184487343590415e-13,3.8882465384173463e-11,1.729376475314169e-12,2.18149591935932e-09,0.0,0.0
0,C4-P4,3.771004525598912e-12,9.653821126063286e-10,3.504515743481403e-12,8.53176781190375e-08,0.0,0.0
0,P4-O2,2.7120417511674508e-11,7.001898740537833e-09,4.5596223823967746e-11,2.7093348706854307e-07,0.0,0.0
0,Fp1-F3,6.729923899244974e-13,1.725591958441203e-10,2.58827033460113e-12,6.454574249378848e-09,0.0,0.0
0,F3-C3,2.753188163142077e-13,7.049767365307578e-11,7.162526679893729e-13,5.438373246066899e-09,0.0,0.0
0,C3-P3,2.725223771367948e-13,6.976590598529964e-11,3.91204233768829e-13,3.140305640244485e-09,0.0,0.0
0,P3-O1,2.9194339136447506e-12,7.474974751618266e-10,9.997427558129371e-13,3.2362379636066005e-08,0.0,0.0
0,Fp2-F8,9.546713989603422e-13,2.444329808782195e-10,1.7918139460856687e-12,5.396552348953569e-08,0.0,0.0
0,F8-T4,1.947624770447428e-12,4.998958896459153e-10,2.4048123476306654e-12,1.4031684034032977e-07,0.0,0.0
0,T4-T6,2.5735303940164097e-11,6.593286917194031e-09,1.913949732385547e-11,3.4854182780124317e-07,0.0,0.0
0,T6-O2,5.0969205510759555e-11,1.307826173990036e-08,5.6580175996705234e-11,4.03614156897752e-08,0.0,0.0
0,Fp1-F7,8.93739562952491e-13,2.2888233163547258e-10,4.316217593115718e-12,7.404025404185817e-08,0.0,0.0
0,F7-T3,8.786955716866232e-12,2.2507613113698583e-09,1.2537343832597796e-11,3.243123788379905e-07,0.0,0.0
0,T3-T5,2.4959888999834633e-11,6.39930085922605e-09,2.30744068978595e-11,1.4941484550696003e-07,0.0,0.0
0,T5-O1,2.096329139513979e-11,5.4241382358020764e-09,1.5304728770174288e-11,6.296951345572996e-09,0.0,0.0
0,Fz-Cz,4.5061771722175893e-13,1.155192276776549e-10,1.7584584897224302e-12,1.0484805710230464e-08,0.0,0.0
0,Cz-Pz,1.5831925157214374e-13,4.052995227652288e-11,3.965181054004921e-13,3.9376990351174966e-09,0.0,0.0
0,Fp2-F4,4.838349113773876e-13,1.2501161144124347e-10,1.5217470394817042e-12,5.674311801775146e-10,0.0,0.0
0,F4-C4,1.4980436281620253e-13,3.841262955787007e-11,1.4701731045000933e-12,3.791898583959066e-10,0.0,0.0
0,C4-P4,3.5915415502641707e-12,9.202981332990379e-10,4.849276023535651e-12,4.125248596365509e-08,0.0,0.0
0,P4-O2,4.5542737790949134e-11,1.1660534711574682e-08,7.188863072583203e-11,2.3200058868692278e-07,0.0,0.0
