label,channel,variance,rms,line_length,zero_crossings
0,Fp2-F4,2.2148943102247674e-10,4.073745225457764e-05,0.0003569027969145787,0.0
0,F4-C4,1.2752575361101965e-10,3.818202305774265e-05,0.0002864072466048158,0.0
0,C4-P4,5.45040688213997e-10,4.119574107650808e-05,0.00042724575945310834,2.0
0,P4-O2,1.349129469963803e-09,3.850800907829138e-05,0.0004087826391338847,17.0
0,Fp1-F3,7.944311351704066e-09,8.93794480481878e-05,0.02258085391372417,101.0
0,F3-C3,4.8771868887873116e-08,0.0004321027653272533,0.0223318306710715,0.0
0,C3-P3,4.07185924940126e-08,0.000450090193645756,0.007143701685827204,0.0
0,P3-O1,4.223854185468011e-10,2.2355611772940932e-05,0.002537076872295297,40.0
0,Fp2-F8,2.5638890891686394e-10,2.348392265792888e-05,0.0003193662051911984,17.0
0,F8-T4,4.384757672004434e-10,2.408028786312902e-05,0.001354369057466353,11.0
0,T4-T6,1.6196908723077631e-10,1.7828034021040118e-05,0.0021855146473738823,48.0
0,T6-O2,3.859013731457582e-10,2.055556163282718e-05,0.0014732349312570573,31.0
0,Fp1-F7,1.8108039561330718e-10,1.392848329861079e-05,0.0005900569113589892,16.0
0,F7-T3,1.6174647560584026e-10,1.4476755372099927e-05,0.000993193802957243,27.0
0,T3-T5,3.48073489963862e-10,3.6471913779416314e-05,0.0016421495940122683,10.0
0,T5-O1,3.330163242535271e-10,2.2445075710977987e-05,0.0009014885524460583,11.0
0,Fz-Cz,7.304276943729283e-11,1.0279857937718077e-05,0.0007313531875209814,26.0
0,Cz-Pz,1.88203308228635e-10,1.3721308047496556e-05,0.001356047522949919,31.0
0,Fp2-F4,2.930185858633163e-10,2.4540048314318897e-05,0.00023727398426770836,2.0
0,F4-C4,2.7612695906520084e-11,1.8890983202472756e-05,0.0002041624379100924,0.0
0,C4-P4,8.973223826165604e-11,2.445628142116377e-05,0.00040679899810785243,0.0
0,P4-O2,1.615237463862654e-10,2.1839297584381875e-05,0.0003340146312295908,10.0
0,Fp1-F3,7.207010275565437e-10,4.669324485501012e-05,0.002009123183828242,23.0
0,F3-C3,1.5559674713119388e-08,0.00026611871387635373,0.00427367829670095,2.0
0,C3-P3,1.3074260960520443e-08,0.0002564323148487802,0.006131129235923337,8.0
0,P3-O1,3.409541282802993e-10,2.4159717687786293e-05,0.0004463192308572648,11.0
