label,channel,a4_energy,a4_wiener_entropy,a4_skewness,a4_kurtosis,a4_psd_rms,a4_std,d4_energy,d4_wiener_entropy,d4_skewness,d4_kurtosis,d4_psd_rms,d4_std,d3_energy,d3_wiener_entropy,d3_skewness,d3_kurtosis,d3_psd_rms,d3_std,d2_energy,d2_wiener_entropy,d2_skewness,d2_kurtosis,d2_psd_rms,d2_std,d1_energy,d1_wiener_entropy,d1_skewness,d1_kurtosis,d1_psd_rms,d1_std
0,Fp2-F4,9.27145e-10,0.26337,-0.779919,-0.517943,6.49176e-06,5.51066e-06,1.3673e-11,0,-0.0501863,-1.76198,7.88352e-07,7.88306e-07,7.26951e-12,0,-0.0400833,-2.83979,4.37382e-07,4.36058e-07,2.7181e-11,0,0.0170645,-2.6871,6.27637e-07,6.2409e-07,8.44863e-12,0,-0.000990629,-2.98727,2.53955e-07,2.53777e-07
0,F4-C4,7.27726e-10,0.583247,-0.748138,-0.393916,5.75139e-06,5.45136e-06,1.4044e-11,0,-0.108632,-1.81688,7.98976e-07,7.89748e-07,1.36744e-11,0,-0.127394,-2.48608,5.99877e-07,5.57103e-07,3.35092e-11,0,-0.128469,-2.24586,6.96879e-07,6.9134e-07,1.03581e-11,0,0.00253827,-2.98457,2.81193e-07,2.81145e-07
0,C4-P4,8.55389e-10,0.353294,0.44112,-1.46573,6.23549e-06,5.57759e-06,1.64966e-11,0,-0.145519,-1.53362,8.65937e-07,8.64259e-07,1.18779e-11,0,-0.0892975,-2.75601,5.59085e-07,5.5833e-07,2.0345e-11,0,0.0568108,-2.78527,5.43006e-07,5.41634e-07,6.04754e-12,0,-0.000346362,-2.99373,2.14859e-07,2.14856e-07
0,P4-O2,6.56669e-10,0.341589,0.445905,1.70859,5.46339e-06,4.99504e-06,2.26659e-11,1.5383,0.885885,1.9527,1.01502e-06,1.01502e-06,3.76599e-11,0,-1.57627,7.19792,9.95515e-07,9.94105e-07,4.18653e-11,0,-0.0717916,-1.92599,7.78937e-07,7.78236e-07,1.18772e-11,0,-0.00236266,-2.9802,3.01107e-07,3.01094e-07
0,Fp1-F3,2.17251e-09,0.790803,1.5596,2.36348,9.93733e-06,3.50402e-06,1.77784e-11,0,0.351584,-0.980705,8.98948e-07,8.97086e-07,1.25634e-11,0,0.00963076,-2.72848,5.74991e-07,5.64693e-07,4.54825e-11,0,0.0572724,-1.91617,8.11891e-07,8.09877e-07,1.28737e-11,0,0.00433646,-2.97512,3.13485e-07,3.13464e-07
0,F3-C3,3.45485e-09,0.660811,-1.0199,0.346923,1.25315e-05,5.45658e-06,1.30153e-11,0,-0.0393342,-1.37379,7.69158e-07,7.64813e-07,1.07962e-11,0,0.015863,-2.7639,5.33021e-07,5.26627e-07,4.18359e-11,0,-0.0702089,-2.29021,7.78664e-07,7.78205e-07,1.18822e-11,0,-0.00428915,-2.97804,3.01171e-07,3.01151e-07
0,C3-P3,3.47103e-09,0.27438,0.33156,-1.0629,1.25608e-05,1.21251e-05,1.89957e-11,0,1.2897,1.59261,9.29215e-07,9.28198e-07,1.27796e-11,0,0.108339,-2.62944,5.79919e-07,5.48861e-07,7.40889e-11,1.73855,0.136378,-1.17921,1.03622e-06,1.03499e-06,1.76139e-11,0,0.00411684,-2.95606,3.66684e-07,3.66605e-07
0,P3-O1,1.58462e-09,0.336166,0.379112,0.353525,8.48695e-06,6.59302e-06,3.88315e-11,1.14674,1.08591,1.52356,1.32856e-06,1.32855e-06,1.41674e-11,0,0.0123838,-2.70305,6.10595e-07,6.10232e-07,1.85239e-11,0,-0.0684411,-2.75492,5.18133e-07,5.18001e-07,8.61335e-12,0,-0.00272473,-2.98897,2.56419e-07,2.56415e-07
0,Fp2-F8,1.94793e-09,0.573952,-1.10261,0.0347903,9.40969e-06,8.77797e-06,3.29046e-11,1.26058,0.723335,-0.315712,1.22297e-06,1.19856e-06,5.646e-11,1.05907,-1.12349,4.87185,1.21893e-06,1.21294e-06,4.83488e-11,0,-0.037047,-1.77701,8.37082e-07,8.36176e-07,1.1072e-11,0,0.000880997,-2.97051,2.90722e-07,2.9036e-07
0,F8-T4,7.08158e-10,0.363747,-0.532633,-0.193538,5.67354e-06,5.54116e-06,9.86709e-12,0,-0.125483,-2.33303,6.69705e-07,6.68732e-07,3.27043e-11,0,-0.517354,2.85217,9.27706e-07,9.23948e-07,2.246e-11,0,-0.097428,-2.54024,5.70533e-07,5.70487e-07,4.79632e-12,0,-0.000262613,-2.99654,1.91346e-07,1.9085e-07
