=== patient_001 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	10.729345	7.61e-27	26.12
delta_intercept	-10.498283	9.02e-26	25.05
delta_midband	-9.418264	4.66e-21	20.33
theta_slope	6.878793	6.06e-12	11.22
theta_intercept	-9.041847	1.56e-19	18.81
theta_midband	-9.940624	2.83e-23	22.55
alpha_slope	4.720418	2.36e-06	5.63
alpha_intercept	-6.754520	1.44e-11	10.84
alpha_midband	-7.675563	1.66e-14	13.78
beta_slope	6.349345	2.17e-10	9.66
beta_intercept	-5.551478	2.84e-08	7.55
beta_midband	-4.065537	4.80e-05	4.32
gamma_slope	7.708154	1.29e-14	13.89
gamma_intercept	-7.759425	8.60e-15	14.07
gamma_midband	-7.688430	1.50e-14	13.82

=== patient_004 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-22.081098	1.26e-107	106.90
delta_intercept	27.026595	6.20e-160	159.21
delta_midband	29.790974	1.22e-193	192.91
theta_slope	-21.215135	1.57e-99	98.80
theta_intercept	27.652519	2.75e-167	166.56
theta_midband	31.445649	2.45e-215	214.61
alpha_slope	-18.724833	5.12e-78	77.29
alpha_intercept	21.678346	8.04e-104	103.09
alpha_midband	18.400841	2.06e-75	74.69
beta_slope	-4.899202	9.65e-07	6.02
beta_intercept	-0.574965	5.65e-01	0.25
beta_midband	-6.711239	1.95e-11	10.71
gamma_slope	6.915187	4.72e-12	11.33
gamma_intercept	-11.462997	2.17e-30	29.66
gamma_midband	-17.099092	2.13e-65	64.67

=== patient_005 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-1.174383	2.40e-01	0.62
delta_intercept	5.509718	3.61e-08	7.44
delta_midband	10.047155	9.82e-24	23.01
theta_slope	-6.984696	2.88e-12	11.54
theta_intercept	11.805679	3.92e-32	31.41
theta_midband	17.305125	5.96e-67	66.22
alpha_slope	-10.916093	1.02e-27	26.99
alpha_intercept	10.877666	1.55e-27	26.81
alpha_midband	4.108986	3.98e-05	4.40
beta_slope	-5.138782	2.77e-07	6.56
beta_intercept	-19.881923	1.03e-87	86.99
beta_midband	-40.753797	0.00e+00	inf
gamma_slope	43.915187	0.00e+00	inf
gamma_intercept	-48.372924	0.00e+00	inf
gamma_midband	-50.017606	0.00e+00	inf

=== patient_007 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-20.193950	2.08e-90	89.68
delta_intercept	19.898675	7.59e-88	87.12
delta_midband	17.359553	2.36e-67	66.63
theta_slope	1.258487	2.08e-01	0.68
theta_intercept	-0.510204	6.10e-01	0.21
theta_midband	0.745473	4.56e-01	0.34
alpha_slope	-2.089054	3.67e-02	1.44
alpha_intercept	2.094229	3.62e-02	1.44
alpha_midband	1.349102	1.77e-01	0.75
beta_slope	-5.401314	6.64e-08	7.18
beta_intercept	5.739693	9.53e-09	8.02
beta_midband	6.611594	3.83e-11	10.42
gamma_slope	-4.276727	1.90e-05	4.72
gamma_intercept	4.021273	5.79e-05	4.24
gamma_midband	3.280198	1.04e-03	2.98

=== patient_009 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-56.161156	0.00e+00	inf
delta_intercept	60.793674	0.00e+00	inf
delta_midband	59.171891	0.00e+00	inf
theta_slope	-20.720807	4.63e-95	94.33
theta_intercept	27.052343	2.88e-160	159.54
theta_midband	32.352438	8.97e-228	227.05
alpha_slope	-13.274124	3.70e-40	39.43
alpha_intercept	23.733107	5.67e-124	123.25
alpha_midband	35.331096	8.12e-271	270.09
beta_slope	-33.820951	1.54e-248	247.81
beta_intercept	30.254894	1.17e-199	198.93
beta_midband	21.286545	3.38e-100	99.47
gamma_slope	-4.945324	7.62e-07	6.12
gamma_intercept	5.546423	2.93e-08	7.53
gamma_midband	7.238834	4.58e-13	12.34

=== patient_011 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	19.145170	1.36e-81	80.87
delta_intercept	-18.103628	3.64e-73	72.44
delta_midband	-15.828516	2.22e-56	55.65
theta_slope	1.821672	6.85e-02	1.16
theta_intercept	-2.888616	3.87e-03	2.41
theta_midband	-3.589398	3.32e-04	3.48
alpha_slope	-1.169430	2.42e-01	0.62
alpha_intercept	-1.384328	1.66e-01	0.78
alpha_midband	-3.857416	1.15e-04	3.94
beta_slope	7.568748	3.79e-14	13.42
beta_intercept	-12.423748	2.03e-35	34.69
beta_midband	-13.649459	2.17e-42	41.66
gamma_slope	10.331005	5.21e-25	24.28
gamma_intercept	-14.568183	4.87e-48	47.31
gamma_midband	-15.046435	4.01e-51	50.40

=== patient_013 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-319.778293	0.00e+00	inf
delta_intercept	331.344597	0.00e+00	inf
delta_midband	315.334463	0.00e+00	inf
theta_slope	-110.486231	0.00e+00	inf
theta_intercept	125.548367	0.00e+00	inf
theta_midband	120.961142	0.00e+00	inf
alpha_slope	-56.012302	0.00e+00	inf
alpha_intercept	63.711451	0.00e+00	inf
alpha_midband	46.892939	0.00e+00	inf
beta_slope	-14.590128	3.38e-48	47.47
beta_intercept	17.377143	1.34e-67	66.87
beta_midband	18.960648	4.05e-80	79.39
gamma_slope	-11.695358	1.37e-31	30.86
gamma_intercept	11.720311	1.02e-31	30.99
gamma_midband	11.208402	3.76e-29	28.42

=== patient_014 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-94.359072	0.00e+00	inf
delta_intercept	103.665295	0.00e+00	inf
delta_midband	104.258141	0.00e+00	inf
theta_slope	-21.060282	3.83e-98	97.42
theta_intercept	51.166157	0.00e+00	inf
theta_midband	75.801760	0.00e+00	inf
alpha_slope	-28.839775	8.84e-182	181.05
alpha_intercept	41.525882	0.00e+00	inf
alpha_midband	62.200193	0.00e+00	inf
beta_slope	-46.416675	0.00e+00	inf
beta_intercept	45.297553	0.00e+00	inf
beta_midband	39.021732	0.00e+00	inf
gamma_slope	-5.784621	7.30e-09	8.14
gamma_intercept	2.690174	7.14e-03	2.15
gamma_midband	-0.662007	5.08e-01	0.29

=== patient_015 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-2.164593	3.04e-02	1.52
delta_intercept	3.954584	7.67e-05	4.12
delta_midband	5.710157	1.13e-08	7.95
theta_slope	-3.633263	2.80e-04	3.55
theta_intercept	6.373404	1.86e-10	9.73
theta_midband	11.527093	9.99e-31	30.00
alpha_slope	-2.416719	1.57e-02	1.81
alpha_intercept	3.297273	9.77e-04	3.01
alpha_midband	4.669739	3.02e-06	5.52
beta_slope	0.456015	6.48e-01	0.19
beta_intercept	-1.465648	1.43e-01	0.85
beta_midband	-2.105331	3.53e-02	1.45
gamma_slope	1.756724	7.90e-02	1.10
gamma_intercept	-3.938327	8.21e-05	4.09
gamma_midband	-4.959269	7.09e-07	6.15

=== patient_016 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-9.972388	2.06e-23	22.69
delta_intercept	8.707986	3.14e-18	17.50
delta_midband	6.824539	8.87e-12	11.05
theta_slope	0.772173	4.40e-01	0.36
theta_intercept	0.121363	9.03e-01	0.04
theta_midband	1.141677	2.54e-01	0.60
alpha_slope	-0.941379	3.47e-01	0.46
alpha_intercept	1.766643	7.73e-02	1.11
alpha_midband	2.345643	1.90e-02	1.72
beta_slope	-1.859538	6.30e-02	1.20
beta_intercept	0.903968	3.66e-01	0.44
beta_midband	-0.429679	6.67e-01	0.18
gamma_slope	-0.700041	4.84e-01	0.32
gamma_intercept	0.273717	7.84e-01	0.11
gamma_midband	-0.416582	6.77e-01	0.17

=== patient_017 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-10.240451	1.34e-24	23.87
delta_intercept	12.901411	4.74e-38	37.32
delta_midband	16.090902	3.50e-58	57.46
theta_slope	-5.618679	1.93e-08	7.71
theta_intercept	15.177959	5.67e-52	51.25
theta_midband	27.309506	1.33e-163	162.88
alpha_slope	-12.669565	9.31e-37	36.03
alpha_intercept	18.425183	1.11e-75	74.96
alpha_midband	19.878306	9.32e-88	87.03
beta_slope	-10.843431	2.22e-27	26.65
beta_intercept	2.304903	2.12e-02	1.67
beta_midband	-6.786065	1.16e-11	10.94
gamma_slope	10.356523	4.03e-25	24.40
gamma_intercept	-10.471089	1.21e-25	24.92
gamma_midband	-10.579191	3.84e-26	25.42

=== patient_019 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-40.149131	0.00e+00	inf
delta_intercept	46.895206	0.00e+00	inf
delta_midband	53.123513	0.00e+00	inf
theta_slope	-36.084841	5.31e-284	283.28
theta_intercept	50.090336	0.00e+00	inf
theta_midband	67.055837	0.00e+00	inf
alpha_slope	-31.484025	6.52e-217	216.19
alpha_intercept	52.030896	0.00e+00	inf
alpha_midband	83.121831	0.00e+00	inf
beta_slope	-14.633360	1.85e-48	47.73
beta_intercept	58.716461	0.00e+00	inf
beta_midband	45.181129	0.00e+00	inf
gamma_slope	-26.791655	8.95e-158	157.05
gamma_intercept	32.049290	1.14e-224	223.94
gamma_midband	36.529999	5.71e-291	290.24

=== patient_020 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-20.812667	6.39e-96	95.19
delta_intercept	17.755010	2.23e-70	69.65
delta_midband	13.018648	1.06e-38	37.97
theta_slope	5.244835	1.57e-07	6.80
theta_intercept	-6.415492	1.41e-10	9.85
theta_midband	-7.571076	3.75e-14	13.43
alpha_slope	2.650840	8.03e-03	2.10
alpha_intercept	-4.888105	1.02e-06	5.99
alpha_midband	-7.948976	1.91e-15	14.72
beta_slope	7.742179	9.90e-15	14.00
beta_intercept	-7.620746	2.55e-14	13.59
beta_midband	-7.045428	1.87e-12	11.73
gamma_slope	-6.567168	5.16e-11	10.29
gamma_intercept	8.757726	2.03e-18	17.69
gamma_midband	9.820666	9.48e-23	22.02

=== patient_021 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-2.469364	1.35e-02	1.87
delta_intercept	3.989190	6.63e-05	4.18
delta_midband	5.926931	3.10e-09	8.51
theta_slope	0.528630	5.97e-01	0.22
theta_intercept	3.955563	7.64e-05	4.12
theta_midband	11.322085	1.06e-29	28.97
alpha_slope	-1.784065	7.44e-02	1.13
alpha_intercept	4.242515	2.21e-05	4.66
alpha_midband	8.790090	1.52e-18	17.82
beta_slope	-5.963134	2.48e-09	8.61
beta_intercept	2.330659	1.98e-02	1.70
beta_midband	-3.426797	6.11e-04	3.21
gamma_slope	3.531612	4.13e-04	3.38
gamma_intercept	-4.341174	1.42e-05	4.85
gamma_midband	-4.997776	5.81e-07	6.24

=== patient_022 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	19.100718	4.03e-81	80.39
delta_intercept	-20.116382	9.59e-90	89.02
delta_midband	-20.391143	3.74e-92	91.43
theta_slope	11.563286	6.75e-31	30.17
theta_intercept	-12.153245	5.97e-34	33.22
theta_midband	-10.710834	9.50e-27	26.02
alpha_slope	4.944583	7.65e-07	6.12
alpha_intercept	-5.215689	1.84e-07	6.74
alpha_midband	-2.166726	3.03e-02	1.52
beta_slope	-2.651902	8.01e-03	2.10
beta_intercept	-0.106977	9.15e-01	0.04
beta_midband	-2.958054	3.10e-03	2.51
gamma_slope	3.383842	7.15e-04	3.15
gamma_intercept	-3.497009	4.71e-04	3.33
gamma_midband	-2.961350	3.06e-03	2.51

=== patient_023 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	9.826649	8.91e-23	22.05
delta_intercept	-10.581210	3.79e-26	25.42
delta_midband	-10.405590	2.43e-25	24.61
theta_slope	0.627631	5.30e-01	0.28
theta_intercept	-1.921899	5.46e-02	1.26
theta_midband	-3.902593	9.52e-05	4.02
alpha_slope	1.481755	1.38e-01	0.86
alpha_intercept	-2.931396	3.38e-03	2.47
alpha_midband	-5.602004	2.13e-08	7.67
beta_slope	5.443657	5.24e-08	7.28
beta_intercept	-5.824461	5.75e-09	8.24
beta_midband	-5.866453	4.47e-09	8.35
gamma_slope	2.184461	2.89e-02	1.54
gamma_intercept	-2.262637	2.37e-02	1.63
gamma_midband	-2.393605	1.67e-02	1.78

=== patient_025 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	9.966276	2.19e-23	22.66
delta_intercept	-9.083889	1.06e-19	18.97
delta_midband	-7.566351	3.87e-14	13.41
theta_slope	1.791169	7.33e-02	1.14
theta_intercept	-1.590067	1.12e-01	0.95
theta_midband	-1.040216	2.98e-01	0.53
alpha_slope	-0.591220	5.54e-01	0.26
alpha_intercept	0.192881	8.47e-01	0.07
alpha_midband	-0.361202	7.18e-01	0.14
beta_slope	-0.117151	9.07e-01	0.04
beta_intercept	-1.979307	4.78e-02	1.32
beta_midband	-3.813470	1.37e-04	3.86
gamma_slope	-4.009964	6.08e-05	4.22
gamma_intercept	2.657987	7.86e-03	2.10
gamma_midband	-0.574092	5.66e-01	0.25

=== patient_031 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-9.300498	1.44e-20	19.84
delta_intercept	16.135328	1.88e-58	57.73
delta_midband	23.805643	1.03e-124	123.99
theta_slope	-4.459894	8.21e-06	5.09
theta_intercept	14.128340	2.98e-45	44.53
theta_midband	26.914358	1.16e-158	157.93
alpha_slope	-28.599270	9.40e-179	178.03
alpha_intercept	36.132431	5.31e-283	282.27
alpha_midband	33.040485	2.22e-237	236.65
beta_slope	-15.175450	6.34e-52	51.20
beta_intercept	11.194590	4.61e-29	28.34
beta_midband	4.730339	2.25e-06	5.65
gamma_slope	3.373728	7.42e-04	3.13
gamma_intercept	-3.554593	3.79e-04	3.42
gamma_midband	-3.914303	9.08e-05	4.04

=== patient_033 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	11.479974	1.78e-30	29.75
delta_intercept	-11.132063	9.28e-29	28.03
delta_midband	-10.147342	3.54e-24	23.45
theta_slope	4.286981	1.81e-05	4.74
theta_intercept	-4.883482	1.04e-06	5.98
theta_midband	-4.452447	8.50e-06	5.07
alpha_slope	1.518441	1.29e-01	0.89
alpha_intercept	-2.590437	9.59e-03	2.02
alpha_midband	-3.741978	1.83e-04	3.74
beta_slope	3.017657	2.55e-03	2.59
beta_intercept	-3.149187	1.64e-03	2.79
beta_midband	-2.547871	1.08e-02	1.96
gamma_slope	2.638922	8.32e-03	2.08
gamma_intercept	-3.000533	2.70e-03	2.57
gamma_midband	-3.320795	8.98e-04	3.05

=== patient_034 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-317.529109	0.00e+00	inf
delta_intercept	332.836138	0.00e+00	inf
delta_midband	315.960529	0.00e+00	inf
theta_slope	-118.256118	0.00e+00	inf
theta_intercept	129.541577	0.00e+00	inf
theta_midband	118.286919	0.00e+00	inf
alpha_slope	-38.000912	0.00e+00	inf
alpha_intercept	53.251916	0.00e+00	inf
alpha_midband	48.690630	0.00e+00	inf
beta_slope	-26.662902	3.73e-156	155.43
beta_intercept	24.703849	2.16e-134	133.67
beta_midband	19.803111	3.89e-87	86.41
gamma_slope	-7.295455	3.00e-13	12.52
gamma_intercept	14.015249	1.37e-44	43.86
gamma_midband	24.873039	3.30e-136	135.48

=== patient_036 ===
Feature	T-Statistic	P-Value	-log10(P)
delta_slope	-249.667050	0.00e+00	inf
delta_intercept	271.497688	0.00e+00	inf
delta_midband	268.198896	0.00e+00	inf
theta_slope	-117.327455	0.00e+00	inf
theta_intercept	138.245150	0.00e+00	inf
theta_midband	140.726092	0.00e+00	inf
alpha_slope	-56.507757	0.00e+00	inf
alpha_intercept	75.367683	0.00e+00	inf
alpha_midband	73.685182	0.00e+00	inf
beta_slope	-22.606864	7.58e-113	112.12
